Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	Ant6-Ia_AGly	Ant6-Ia_1633	66.117	1.686	1snp308holes	edge0.0	0.166	909	0.5	153	1633	no;no;Ant6-Ia;AGly;X92945;37965-38873;909
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	OleC_MLS	OleC_553	2.965	0.967	1snp949holes	edge0.0	3.448	978	0.0	132	553	no;no;OleC;MLS;L06249;1528-2505;978
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	Tet-40_Tet	Tet-40_1546	100.0	6.324	7snp	edge2.0	0.573	1221	0.5	63	1546	no;no;Tet-40;Tet;AM419751;14211-15431;1221
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	MefA_MLS	MefA_1210	92.857	5.248	48snp87holes	edge2.0	4.244	1218	0.375	64	1210	no;no;MefA;MLS;U70055;314-1531;1218
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	Aph3-III_AGly	Aph3-III_268	55.597	2.709	353holes	edge0.0	0.0	795	0.0	277	268	no;no;Aph3-III;AGly;X92945;39505-40299;795
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	ErmB_MLS	ErmB_841	100.0	29.147	3snp		0.407	738	0.333	323	841	no;no;ErmB;MLS;M11180;714-1451;738
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	TetX_Tet	TetX_639	100.0	4.197	1snp	depth4.197	0.086	1167	0.333	85	639	no;no;TetX;Tet;M37699;586-1752;1167
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	TlrC2_MLS	TlrC_576	2.28	2.105	1indel1586holes	edge0.0	0.0	1623	0.0	25	576	no;no;TlrC;MLS;NC_016113;804890-803268;1623
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	SrmB_MLS	SrmB_581	5.082	2.118	8snp1569holes	edge0.0	9.524	1653	0.0	22	581	no;no;SrmB;MLS;X63451;558-2210;1653
AMR_TR-DNA-NOVA042518_2-pst_S113_R2_	ARGannot_r2	TlrC_MLS	TlrC_582	1.761	0.967	1618holes	edge0.0	0.0	1647	0.0	23	582	no;no;TlrC;MLS;M57437;277-1923;1647
